Disease,Description,Symptoms,Medicines
"Rheumatoid Arthritis	","Autoimmune disorder causing inflammation of joints and surrounding tissues	","Joint pain, Swelling, Stiffness (especially in the morning), Fatigue, Weakness, Fever, Loss of appetite, Rheumatoid nodules (lumps under the skin)	","Nonsteroidal anti-inflammatory drugs (NSAIDs), Disease-modifying antirheumatic drugs (DMARDs), Biologic response modifiers (e.g., TNF inhibitors)"
"Systemic Lupus Erythematosus (SLE)	","Chronic autoimmune disease affecting various organs and tissues	","Joint pain and swelling, Butterfly-shaped rash on face (malar rash), Fatigue, Fever, Chest pain, Sensitivity to sunlight, Mouth or nose sores, Raynaud's phenomenon	","Nonsteroidal anti-inflammatory drugs (NSAIDs), Corticosteroids, Antimalarial drugs, Immunosuppressants, Biologic therapies"
"Multiple Sclerosis	","Autoimmune disease affecting the central nervous system	","Fatigue, Numbness or weakness in limbs, Blurred or double vision, Tingling or pain in parts of the body, Impaired coordination or balance, Cognitive changes	","Corticosteroids (for acute exacerbations), Disease-modifying therapies (Interferons, Glatiramer acetate)"
Type 1 Diabetes,"Autoimmune condition causing destruction of insulin-producing cells in pancreas	","Increased thirst, Frequent urination, Extreme hunger, Unintended weight loss, Fatigue, Irritability, Blurred vision	","Insulin therapy (multiple types), Blood sugar monitoring, Oral medications (in some cases)"
"Hashimoto's Thyroiditis	","Autoimmune disorder leading to inflammation and underactivity of the thyroid gland	","Fatigue, Weight gain, Cold intolerance, Dry skin and hair, Constipation, Muscle weakness, Joint pain, Heavy or irregular periods (in women)	","Thyroid hormone replacement therapy (Levothyroxine), Anti-inflammatory medications (for symptom relief)"
"Graves' Disease	","Autoimmune disorder causing overactivity of the thyroid gland	","Hyperthyroidism symptoms: Weight loss, Rapid heartbeat, Nervousness or irritability, Tremors, Sweating, Fatigue, Heat intolerance, Bulging eyes (exophthalmos)	","Antithyroid medications (Methimazole, Propylthiouracil), Beta-blockers (for symptom relief)"
"Crohn's Disease	","Chronic inflammatory bowel disease affecting the gastrointestinal tract	","Diarrhea, Abdominal pain and cramping, Rectal bleeding, Weight loss, Fatigue, Reduced appetite, Fever, Perianal complications (fistulas, abscesses)	","Aminosalicylates, Corticosteroids, Immunomodulators, Biologic therapies"
"Ulcerative Colitis	","Chronic inflammatory bowel disease affecting the colon and rectum	","Diarrhea (often bloody), Abdominal pain and cramping, Rectal bleeding, Urgency to defecate, Inability to defecate despite urgency, Fatigue, Weight loss	","Aminosalicylates, Corticosteroids, Immunomodulators, Biologic therapies"
"Psoriasis	","Chronic autoimmune condition affecting the skin	","Red patches of skin covered with silvery scales, Itching or burning, Thickened or ridged nails, Swollen or stiff joints (psoriatic arthritis), Plaques on scalp	","Topical corticosteroids, Vitamin D analogs, Retinoids, Biologic therapies"
"Celiac Disease	","Autoimmune disorder triggered by gluten ingestion, causing damage to the small intestine	","Abdominal pain, Diarrhea, Bloating, Gas, Fatigue, Weight loss, Anemia, Osteoporosis, Dermatitis herpetiformis (skin rash)	","Gluten-free diet (strict avoidance of gluten-containing foods), Nutritional supplements"
"Breast Cancer	","Lump in breast or armpit, Change in breast size or shape, Nipple changes (inversion, discharge), Skin changes (redness, dimpling), Breast pain, Swollen lymph nodes	","Chemotherapy, Hormonal therapy (Tamoxifen, Aromatase inhibitors), Targeted therapy (Herceptin), Radiation therapy",
"Lung Cancer	","Persistent cough, Chest pain, Hoarseness, Shortness of breath, Coughing up blood, Fatigue, Unintended weight loss, Recurrent respiratory infections	","Chemotherapy, Immunotherapy (Checkpoint inhibitors), Targeted therapy (EGFR inhibitors), Radiation therapy, Surgery",
Prostate Cancer,"Urinary problems (frequent urination, weak urine stream), Blood in urine or semen, Erectile dysfunction, Pain or stiffness in pelvis, Bone pain	","Active surveillance (for low-risk cases), Surgery (Prostatectomy), Radiation therapy, Hormonal therapy (Androgen deprivation therapy)",
"Colorectal Cancer	","Change in bowel habits (diarrhea or constipation), Blood in stool, Abdominal discomfort or pain, Fatigue, Unintended weight loss, Anemia	","Surgery (Colectomy, Proctectomy), Chemotherapy, Targeted therapy (EGFR inhibitors), Immunotherapy (Checkpoint inhibitors), Radiation therapy",
"Skin Cancer (Melanoma)	","Change in size, shape, or color of a mole, New mole or growth on skin, Itching or pain in a mole, Sores that don't heal, Spread of pigment from border of a mole	","Surgery (Wide local excision), Immunotherapy (Checkpoint inhibitors), Targeted therapy (BRAF inhibitors), Radiation therapy",
"Leukemia	","Fatigue, Weakness, Pale skin, Frequent infections, Fever, Easy bleeding or bruising, Enlarged lymph nodes or spleen, Bone pain	","Chemotherapy, Targeted therapy (Tyrosine kinase inhibitors), Immunotherapy (Monoclonal antibodies), Stem cell transplant",
Lymphoma,"Swollen lymph nodes (usually painless), Fatigue, Fever, Night sweats, Unintended weight loss, Itchy skin, Respiratory symptoms	","Chemotherapy, Immunotherapy (Checkpoint inhibitors), Targeted therapy (Monoclonal antibodies), Radiation therapy",
"Ovarian Cancer	","Abdominal bloating or swelling, Pelvic pain or pressure, Difficulty eating or feeling full quickly, Urinary urgency or frequency, Fatigue, Back pain	","Surgery (Hysterectomy), Chemotherapy, Targeted therapy (PARP inhibitors), Immunotherapy (Checkpoint inhibitors)",
"Pancreatic Cancer	","Abdominal pain or discomfort, Jaundice (yellowing of skin and eyes), Unintended weight loss, Loss of appetite, Nausea, Fatigue, New-onset diabetes	","Surgery (Pancreatectomy), Chemotherapy, Targeted therapy (EGFR inhibitors), Immunotherapy (Checkpoint inhibitors), Radiation therapy",
"Brain Cancer (Glioblastoma)	","Headaches, Seizures, Nausea and vomiting, Cognitive changes (memory loss, difficulty concentrating), Weakness or paralysis, Vision or speech problems	","Surgery (Tumor resection), Chemotherapy, Radiation therapy, Tumor-treating fields therapy (Optune)",
